Order_ID,Order_Date,Ship_Days,Ship_Date,Customer_ID,Customer_Name,Customer_Age,Customer_Gender,Segment,Region,Country,State,City,Category,Product,Quantity,Unit_Price,Discount,Total_Sales,Profit,Profit_Margin,Shipping_Cost,Order_Priority,Delivery_Status,Return_Reason,zscore_sales,zscore_profit,GMV,Efective_Price,Delivery_Statuses,Order_Month,Cohort_Month
ORD-1010,2025-01-22,6,2025-01-28,CUST-8666,Cynthia Myers,37,Male,Home Office,East,United States,Connecticut,Ericport,Furniture,Binder,10,184,0.5612593352834451,807.2828230784611,76.66467770952782,0.0949663185166974,15.706752307764186,Medium,Returned,Incorrect Item,-0.2049941864547786,-0.48483908988923957,1840,80.7282823078461,-6,2025-01,2025-01
ORD-1011,2025-11-13,3,2025-11-16,CUST-2631,April Smith,65,Male,Consumer,South,United States,Idaho,Evanshire,Furniture,Office Chair,7,486,0.4712648615683343,1798.7569409445266,307.52330482290915,0.1709643464455118,7.907591865110255,Critical,Pending,,0.957181287878804,1.0105863506359591,3402,256.9652772777895,-3,2025-11,2025-11
ORD-1012,2025-10-08,3,2025-10-11,CUST-8982,Daniel Jones,51,Female,Corporate,North,United States,New Hampshire,New Julialand,Furniture,Bookshelf,7,440,0.0186952391980077,3022.418663270136,325.4175285850797,0.1076679192527851,7.163228983768306,Critical,Pending,,2.3915199326720726,1.1264991834678812,3080,431.7740947528766,-3,2025-10,2025-07
ORD-1013,2025-03-09,1,2025-03-10,CUST-5331,Stephanie Phillips,55,Male,Home Office,West,United States,Arkansas,Port Abigailburgh,Office Supply,Pen Set,7,81,0.4674614294667785,301.9493694923366,38.76301405980842,0.1283758734948847,10.001063167966707,Low,Delivered,,-0.7973305223564042,-0.7303534671023675,567,43.135624213190944,-1,2025-03,2025-03
ORD-1014,2025-07-17,3,2025-07-20,CUST-3823,Kristi Roberts,19,Female,Consumer,North,United States,Montana,Port Samanthahaven,Furniture,Binder,8,327,0.1851124395673243,2131.74585809188,427.152679157994,0.2003769246397585,14.755074139041543,Critical,Delivered,,1.3475006575527875,1.7855056683660122,2616,266.46823226148496,-3,2025-07,2025-07
ORD-1015,2025-01-03,6,2025-01-09,CUST-5065,Robin Shah,31,Male,Home Office,West,United States,Hawaii,Port Johnfurt,Technology,Computer,5,28,0.1988354361534395,112.16303893851848,26.23449085954636,0.2338960419387945,5.583625857992203,Medium,Pending,,-1.0197922233316472,-0.8115090754508506,140,22.432607787703695,-6,2025-01,2025-01
ORD-1016,2025-03-07,6,2025-03-13,CUST-2836,Amanda Brown,56,Female,Home Office,East,United States,New Hampshire,Alanborough,Technology,Computer,5,217,0.5267697829696554,513.4547854779239,63.76322509641855,0.1241846933748367,19.75547824149546,High,Cancelled,,-0.5494103772736288,-0.5684104109986667,1085,102.69095709558478,-6,2025-03,2025-03
ORD-1017,2025-02-19,7,2025-02-26,CUST-1905,Matthew Blankenship,38,Male,Home Office,West,United States,Rhode Island,Anamouth,Technology,Computer,3,51,0.0827503507513112,140.33919633504937,21.04051411701449,0.1499261408536346,13.923682220360217,Critical,Returned,Customer Changed Mind,-0.9867649980141687,-0.8451539301196938,153,46.77973211168313,-7,2025-02,2024-12
ORD-1018,2025-10-27,1,2025-10-28,CUST-5048,Jessica Turner,36,Male,Home Office,North,United States,Kentucky,East Michellemouth,Furniture,Standing Desk,2,299,0.1892647199746596,484.8196974551535,99.78014427263088,0.2058087672517899,6.427333128367293,Medium,Returned,Late Delivery,-0.5829755469596243,-0.3351047819263978,598,242.4098487275768,-1,2025-10,2025-07
ORD-1019,2025-04-07,5,2025-04-12,CUST-6759,Catherine Garner,44,Male,Consumer,Central,United States,Virginia,Lake Steven,Technology,Mouse,4,230,0.1238717322263874,806.0380063517235,61.6376435162391,0.0764698972387449,18.484377669310483,High,Delivered,,-0.2064533223452528,-0.5821792218534197,920,201.5095015879309,-5,2025-04,2025-04
ORD-1020,2025-01-30,2,2025-02-01,CUST-4956,Craig Whitehead,19,Male,Corporate,West,United States,Indiana,South Garyhaven,Furniture,Binder,8,458,0.4102605459057824,2160.8053598012134,531.834960245969,0.2461281197001917,9.882834627765412,Critical,Cancelled,,1.3815633119119648,2.4636026850059154,3664,270.1006699751517,-2,2025-01,2025-01
ORD-1021,2025-04-11,1,2025-04-12,CUST-1098,Katie Davidson,30,Male,Corporate,South,United States,Texas,West Patricia,Technology,CPU,8,126,0.4935329170001936,510.5188196638048,51.06572825632834,0.1000271219971028,16.41276837626345,Medium,Cancelled,,-0.5528518261235443,-0.6506605744128917,1008,63.814852457975604,-1,2025-04,2024-12
ORD-1022,2025-11-03,5,2025-11-08,CUST-9162,Monica Clark,47,Female,Home Office,West,United States,Ohio,Port Williambury,Office Supply,Desk Organizer,10,63,0.5524296916746368,281.9692942449788,34.97850572161394,0.12405076168054,4.203775979057456,Critical,Pending,,-0.8207505521982275,-0.7548682540071525,630,28.196929424497878,-5,2025-11,2025-11
ORD-1023,2025-09-20,2,2025-09-22,CUST-7975,James Berry,52,Female,Consumer,West,United States,North Carolina,Natalieview,Furniture,Bookshelf,4,482,0.5161678518007551,932.8283817281442,226.41483983894128,0.2427186439369356,17.554875180223846,Medium,Cancelled,,-0.05783354297958505,0.48519267791259596,1928,233.20709543203606,-2,2025-09,2025-02
ORD-1024,2025-01-06,1,2025-01-07,CUST-4678,Natalie Brown,31,Male,Home Office,West,United States,Maine,Howardport,Furniture,Bookshelf,3,63,0.3751897034990306,118.08914603868324,27.617725542176856,0.2338718372400621,11.34766660235681,Medium,Cancelled,,-1.0128458228094546,-0.8025489410149539,189,39.363048679561075,-1,2025-01,2025-01
ORD-1025,2025-04-20,6,2025-04-26,CUST-8360,Kristy Mccoy,43,Female,Corporate,East,United States,Delaware,Buckland,Furniture,Standing Desk,1,289,0.505589099132894,142.88475035059363,9.769606153285428,0.0683740296239726,2.126377549736283,Critical,Delivered,,-0.9837811778698524,-0.9181631250435665,289,142.88475035059363,-6,2025-04,2025-04
ORD-1026,2025-06-18,7,2025-06-25,CUST-1277,Steven Cummings,30,Female,Consumer,West,United States,Wyoming,North Markchester,Office Supply,Pen Set,7,282,0.1050040763832665,1766.7219532194315,422.3842139826064,0.239077922370813,11.900469541547205,Medium,Cancelled,,0.9196308603045441,1.7546171361734038,1974,252.38885045991884,-7,2025-06,2025-06
ORD-1027,2025-06-15,6,2025-06-21,CUST-6927,Gary Morris,24,Female,Home Office,South,United States,Ohio,Lorettaton,Furniture,Bookshelf,6,437,0.4765766920197047,1372.4159135243342,332.9887513781848,0.2426296198526851,16.196486350714753,Low,Returned,Damaged Product,0.4574374450073938,1.175543047768144,2622,228.73598558738902,-6,2025-06,2025-06
ORD-1028,2025-10-28,5,2025-11-02,CUST-7405,Stephanie Ford,62,Female,Consumer,East,United States,Montana,Vasquezview,Furniture,Standing Desk,8,302,0.1172836112247299,2132.6427952810523,285.9871587704506,0.1340998874275903,18.90824602008768,High,Cancelled,,1.3485520197462022,0.8710823559167336,2416,266.5803494101316,-5,2025-10,2025-10
ORD-1029,2025-03-08,1,2025-03-09,CUST-6138,Heather Smith,58,Male,Home Office,North,United States,South Dakota,South Jenniferside,Technology,Mouse,3,367,0.4995918336179167,550.9493911866736,120.07595128561748,0.2179437044607481,17.817763659463893,Medium,Cancelled,,-0.5054603533755737,-0.20363529117046555,1101,183.64979706222456,-1,2025-03,2025-03
ORD-1030,2025-04-05,2,2025-04-07,CUST-1400,Collin Stevens,35,Female,Home Office,Central,United States,Arkansas,Port Hollybury,Technology,Printer,7,470,0.5315417492693606,1541.2276449038036,165.03211969145875,0.1070783542179191,17.18634568003792,High,Delivered,,0.6553133657740019,0.08757582267546536,3290,220.17537784340053,-2,2025-04,2025-04
ORD-1031,2025-04-01,4,2025-04-05,CUST-1443,Scott Adams,43,Male,Corporate,Central,United States,New York,South Brittney,Office Supply,Pen Set,5,142,0.4069805325223427,421.0438219091367,24.87255340462585,0.0590735503298596,6.59345096241328,High,Returned,Damaged Product,-0.657731667243688,-0.8203312535256253,710,84.20876438182734,-4,2025-04,2025-04
ORD-1032,2025-10-04,7,2025-10-11,CUST-7903,Bryan Wilson,61,Female,Home Office,West,United States,New York,Port Brandonfort,Office Supply,Paper,1,204,0.4979164863545671,102.42503678366832,18.78512904545876,0.1834036836631534,13.154200387901188,Low,Pending,,-1.0312068100257836,-0.8597635648401183,204,102.42503678366832,-7,2025-10,2025-10
ORD-1033,2025-10-07,4,2025-10-11,CUST-9241,Juan Glenn,23,Male,Consumer,East,United States,Louisiana,West Erica,Furniture,Bookshelf,1,489,0.5387864980599586,225.53340244868025,37.12267236623992,0.1645994427574297,11.664460777462118,Low,Pending,,-0.8869029692264874,-0.7409790552832752,489,225.53340244868025,-4,2025-10,2025-10
ORD-1034,2025-01-26,5,2025-01-31,CUST-7205,Andrew Cabrera,30,Male,Consumer,South,United States,Oregon,Millerfurt,Technology,CPU,3,497,0.5647780089577467,648.9159886439998,83.25605300370906,0.1283002028932653,18.8832221281664,High,Pending,,-0.3906269201903865,-0.44214235194958756,1491,216.30532954799992,-5,2025-01,2025-01
ORD-1035,2025-04-02,5,2025-04-07,CUST-7769,Justin Harmon,31,Female,Home Office,South,United States,Washington,Dylanmouth,Office Supply,Filing Cabinet,7,58,0.1368276434004514,350.4479767794167,76.27963377774856,0.2176632163174434,13.251270471635848,High,Delivered,,-0.7404819461679589,-0.48733327647651303,406,50.06399668277382,-5,2025-04,2025-04
ORD-1036,2025-05-11,2,2025-05-13,CUST-2908,Christine Ferguson,26,Female,Home Office,North,United States,Louisiana,Davidmouth,Technology,CPU,8,74,0.1754346907502135,488.1426630758736,93.79129730015032,0.1921391109499725,17.152163522455115,Medium,Cancelled,,-0.5790804688361868,-0.3738985417006914,592,61.01783288448419,-2,2025-05,2025-05
ORD-1037,2025-07-14,6,2025-07-20,CUST-9716,Cathy Wallace,32,Female,Corporate,West,United States,Hawaii,Sullivanburgh,Technology,Printer,7,415,0.271278138547401,2116.9370075198,249.46496830970068,0.1178424144996045,14.433646078860267,Critical,Delivered,,1.3301421782664251,0.6345037474340253,2905,302.4195725028286,-6,2025-07,2025-07
ORD-1038,2025-05-11,3,2025-05-14,CUST-5431,Yesenia Cochran,53,Male,Corporate,North,United States,Massachusetts,Stacyland,Office Supply,Desk Organizer,7,99,0.474955991164888,363.8554981227326,66.38341352987696,0.1824444425668265,9.12128243448472,Medium,Pending,,-0.7247660619143765,-0.551437701373918,693,51.97935687467609,-3,2025-05,2025-05
ORD-1039,2024-12-13,2,2024-12-15,CUST-9198,Tracy Gates,42,Female,Corporate,Central,United States,Minnesota,Phillipmouth,Office Supply,Pen Set,5,257,0.0388849150238237,1235.0328841943865,250.1425098788363,0.2025391494267819,7.2242120618937875,High,Delivered,,0.2964012823886892,0.6388926364790994,1285,247.0065768388773,-2,2024-12,2024-12
ORD-1040,2025-11-23,1,2025-11-24,CUST-6817,Sharon Hawkins,48,Female,Corporate,Central,United States,Montana,West Stanleyhaven,Technology,LCD Monitor,3,192,0.5383585199480304,265.9054925099345,20.91360775708372,0.0786505294030448,19.897500345232046,Low,Delivered,,-0.8395800466495871,-0.8459759873309743,576,88.63516416997817,-1,2025-11,2025-11
ORD-1041,2025-06-16,6,2025-06-22,CUST-4566,Robert Thomas,47,Male,Home Office,Central,United States,Ohio,Marieville,Furniture,Office Chair,7,22,0.1615808664004529,129.11654657433024,20.41172586499936,0.1580876069454713,18.77418811254557,Critical,Cancelled,,-0.9999198429807876,-0.8492270113838605,154,18.445220939190037,-6,2025-06,2025-06
ORD-1042,2025-01-02,5,2025-01-07,CUST-2517,Andrew Hughes,53,Male,Consumer,West,United States,Michigan,New Brookebury,Office Supply,Filing Cabinet,2,417,0.4071628332955231,494.4261970315338,76.33563881013856,0.1543923830663648,8.786451451356992,High,Returned,Damaged Product,-0.5717151035444253,-0.48697049449482727,834,247.2130985157669,-5,2025-01,2025-01
ORD-1043,2025-05-03,1,2025-05-04,CUST-8053,David Thompson,55,Female,Corporate,Central,United States,Indiana,South Scottberg,Office Supply,Pen Set,8,29,0.0407121001630198,222.5547927621794,50.24830141016074,0.2257794621563407,2.9371657356255287,Medium,Cancelled,,-0.8903944039123611,-0.6559555937795578,232,27.819349095272425,-1,2025-05,2025-05
ORD-1044,2025-09-27,4,2025-10-01,CUST-8918,Victoria Valenzuela,32,Male,Home Office,East,United States,Nevada,Riverastad,Technology,Printer,8,448,0.1753179508639133,2955.6604641037347,238.2425248635168,0.0806055119513738,2.81966178195696,Critical,Cancelled,,2.3132680243430355,0.5618084895434186,3584,369.45755801296684,-4,2025-09,2025-09
ORD-1045,2025-03-01,3,2025-03-04,CUST-9214,Julie Taylor,39,Female,Home Office,East,United States,Virginia,West Jimmy,Office Supply,Stapler,3,234,0.0321210076101644,679.4510526576646,141.9169612100374,0.2088700292021492,11.364407111640729,High,Cancelled,,-0.3548346570698266,-0.06215648963665989,702,226.48368421922154,-3,2025-03,2025-03
ORD-1046,2025-06-30,4,2025-07-04,CUST-1320,Rebecca Johnson,22,Male,Consumer,Central,United States,Maryland,East Selena,Technology,Laptop,7,214,0.4814365534560442,776.8080429228459,44.63897132282321,0.0574646101176592,12.694068877104984,Critical,Pending,,-0.24071578669058843,-0.6922909693372935,1498,110.97257756040655,-4,2025-06,2025-06
ORD-1047,2025-03-28,3,2025-03-31,CUST-6708,Tina Brown,59,Female,Home Office,Central,United States,Iowa,Lake Kenneth,Office Supply,Pen Set,1,254,0.5839953032321299,105.665192979039,16.12710172084132,0.1526245423508617,14.493774549125968,Low,Pending,,-1.027408798564451,-0.8769813822227532,254,105.665192979039,-3,2025-03,2025-03
ORD-1048,2025-07-15,1,2025-07-16,CUST-4213,Timothy Hanson,33,Female,Corporate,East,United States,Alabama,Lake Tammy,Technology,LCD Monitor,2,446,0.1180914465433682,786.6624296833155,45.56090882849303,0.0579167214669631,17.60807865144157,High,Returned,Late Delivery,-0.2291647775404308,-0.6863189646615667,892,393.33121484165775,-1,2025-07,2025-07
ORD-1049,2025-03-02,5,2025-03-07,CUST-4084,Cindy Oneal,18,Male,Home Office,North,United States,Pennsylvania,Martinezstad,Furniture,Standing Desk,9,406,0.1629580519004126,3058.551278355892,540.5655957325638,0.1767390985261303,19.006608694807674,Low,Returned,Incorrect Item,2.4338734730414173,2.520156839303098,3654,339.8390309284325,-5,2025-03,2025-03
ORD-1050,2025-01-14,2,2025-01-16,CUST-1430,Eduardo Martinez,30,Female,Home Office,Central,United States,California,Brandonport,Technology,Laptop,5,455,0.4322300735106011,1291.6765827633826,111.54175328568036,0.0863542428299277,5.440210814760884,Critical,Pending,,0.36279728412609835,-0.25891698873213964,2275,258.33531655267655,-2,2025-01,2025-01
ORD-1051,2024-12-27,5,2025-01-01,CUST-4072,Jack Scott,52,Female,Home Office,North,United States,Tennessee,North Charles,Technology,Mouse,1,168,0.3358965919900814,111.56937254566633,16.048711535730927,0.1438451357173497,18.93160917202854,High,Pending,,-1.0204881008228257,-0.8774891677821121,168,111.56937254566633,-5,2024-12,2024-12
ORD-1052,2025-07-20,4,2025-07-24,CUST-9580,Mary George,27,Male,Consumer,South,United States,Nevada,Davisshire,Technology,Mouse,7,86,0.389039034494494,367.7985012343146,53.80876271965853,0.1462995703872605,11.456850655583,High,Cancelled,,-0.7201441949095532,-0.632892109045181,602,52.54264303347351,-4,2025-07,2025-01
ORD-1053,2024-12-24,2,2024-12-26,CUST-2626,James Brown,54,Female,Corporate,South,United States,Rhode Island,Juanhaven,Office Supply,Pen Set,1,144,0.2662770521390243,105.6561044919805,14.784094422342587,0.1399265522179528,10.14602713851878,Low,Pending,,-1.0274194518095212,-0.8856809370373094,144,105.6561044919805,-2,2024-12,2024-12
ORD-1054,2025-10-06,4,2025-10-10,CUST-5694,James Alexander,50,Female,Consumer,North,United States,Georgia,North Vanessashire,Technology,Laptop,7,325,0.2553808120371729,1694.0086526154314,354.6028668768455,0.2093276597668869,11.009792621101848,Low,Cancelled,,0.8343985651825148,1.31555210263995,2275,242.0012360879188,-4,2025-10,2025-10
ORD-1055,2025-09-12,5,2025-09-17,CUST-2297,William Mendez,58,Male,Home Office,North,United States,New Hampshire,North Aaron,Technology,LCD Monitor,8,234,0.5354138098111552,869.7053480335176,181.72606734228,0.2089513048909944,8.215240023181956,Medium,Cancelled,,-0.131824422119546,0.19571366587407876,1872,108.7131685041897,-5,2025-09,2025-09
ORD-1056,2025-08-30,7,2025-09-06,CUST-1903,Sarah Knapp,58,Female,Consumer,West,United States,Tennessee,North Lauraland,Office Supply,Pen Set,7,330,0.4693790901760797,1225.734301693256,296.1628252941016,0.2416207369614898,19.921467755106107,Low,Returned,Customer Changed Mind,0.2855017699010206,0.9369969408903972,2310,175.1049002418937,-7,2025-08,2025-08
ORD-1057,2025-02-01,5,2025-02-06,CUST-1478,Terri Fernandez,39,Male,Consumer,Central,United States,Maryland,South Justinfort,Office Supply,Pen Set,5,374,0.154032799464022,1581.9586650022788,296.28185788712244,0.1872879895295466,7.02764354197324,Medium,Pending,,0.7030570151038684,0.9377679944571656,1870,316.39173300045576,-5,2025-02,2025-02
ORD-1058,2025-08-10,5,2025-08-15,CUST-8631,Stephanie Hanson,24,Male,Consumer,South,United States,Missouri,North Jeffrey,Furniture,Bookshelf,5,111,0.4417274217612166,309.8412809225248,48.12109638817835,0.155308860862252,2.519600983973943,High,Pending,,-0.7880798664446615,-0.6697349207506184,555,61.96825618450496,-5,2025-08,2025-08
ORD-1059,2025-05-31,6,2025-06-06,CUST-3903,Jonathan Newton,48,Female,Corporate,East,United States,Kentucky,Lake Troyport,Technology,Laptop,1,390,0.416993455328672,227.37255242181791,29.09402120815435,0.1279574904634029,18.726753935959785,Low,Returned,Late Delivery,-0.8847471741796109,-0.7929859884658357,390,227.37255242181791,-6,2025-05,2025-05
ORD-1060,2024-12-14,6,2024-12-20,CUST-1247,Ronnie Myers,39,Female,Corporate,South,United States,Connecticut,South Jeff,Furniture,Bookshelf,4,130,0.2412340398906898,394.5582992568413,21.213580926400923,0.0537653902258731,6.117859238070329,Medium,Cancelled,,-0.6887771824989459,-0.8440328608622736,520,98.63957481421032,-6,2024-12,2024-12
ORD-1061,2025-06-10,5,2025-06-15,CUST-8360,Anthony Allen,53,Male,Home Office,West,United States,Colorado,Leeborough,Furniture,Bookshelf,3,222,0.093737933512665,603.5705362805651,145.8824047692317,0.2416990161054173,7.354210468649544,Critical,Pending,,-0.44377946513303174,-0.036469664519773445,666,201.19017876018836,-5,2025-06,2025-04
ORD-1062,2025-06-26,4,2025-06-30,CUST-6287,Kaitlyn Price,52,Male,Corporate,West,United States,Georgia,Smithtown,Technology,Mouse,7,169,0.564288491417892,515.4467146526338,101.20789031752622,0.1963498601125657,8.446596471023762,Medium,Delivered,,-0.547075499144445,-0.32585631768296663,1183,73.63524495037626,-4,2025-06,2025-06
ORD-1063,2025-09-17,1,2025-09-18,CUST-2434,Theresa Shah,61,Male,Consumer,East,United States,Tennessee,Lisaville,Technology,Mouse,5,366,0.0214840111896282,1790.6842595229805,235.36765235085517,0.1314400632602615,8.103921252975518,Medium,Delivered,,0.9477187389416499,0.543186021119965,1830,358.1368519045961,-1,2025-09,2025-09
ORD-1064,2025-01-26,2,2025-01-28,CUST-9856,Ruben Garcia,43,Female,Consumer,North,United States,Texas,Reeseport,Furniture,Bookshelf,3,429,0.259701953954801,952.7635852601712,104.77923496081404,0.1099740130519387,4.321114778675134,Low,Returned,Incorrect Item,-0.034466110382721536,-0.30272233433031925,1287,317.58786175339037,-2,2025-01,2025-01
ORD-1065,2025-06-18,6,2025-06-24,CUST-4551,Joshua Gould,58,Male,Corporate,Central,United States,Missouri,Martinhaven,Office Supply,Desk Organizer,4,285,0.5394688319254861,525.0055316049459,52.77736661823738,0.1005272581736359,3.5402039801391663,Critical,Delivered,,-0.5358709478349958,-0.6395731501161139,1140,131.25138290123647,-6,2025-06,2025-06
ORD-1066,2025-10-18,4,2025-10-22,CUST-4463,David Johnson,44,Female,Home Office,West,United States,Pennsylvania,Bennettfurt,Furniture,Bookshelf,3,297,0.4898277650320177,454.5634613564722,36.49835954589737,0.0802932101867181,14.607656233574932,Medium,Pending,,-0.6184409765718614,-0.7450231461888656,891,151.52115378549072,-4,2025-10,2025-10
ORD-1067,2025-01-05,7,2025-01-12,CUST-1847,Todd Thomas,28,Female,Consumer,East,United States,New Jersey,Haleshire,Office Supply,Filing Cabinet,7,55,0.5133380212832268,187.36486180595767,14.08484976810915,0.0751733790015332,2.299591452001769,Critical,Delivered,,-0.9316429589314621,-0.8902104114527419,385,26.766408829422524,-7,2025-01,2025-01
ORD-1068,2025-03-13,2,2025-03-15,CUST-1672,Karen Smith,47,Male,Consumer,Central,United States,Connecticut,Banksshire,Technology,Laptop,3,310,0.2994538946443152,651.5078779807868,155.47958238998984,0.2386457441955521,19.397215091210093,High,Delivered,,-0.38758878720726453,0.025697661651980206,930,217.16929266026227,-2,2025-03,2024-12
ORD-1069,2025-06-12,7,2025-06-19,CUST-9063,Scott Horne,49,Male,Corporate,South,United States,Montana,South Laura,Technology,Printer,3,428,0.5150263950000391,622.7061088199498,39.92458708336072,0.0641146545984898,15.017755804114833,Critical,Returned,Not Specified,-0.42134933539805836,-0.7228291832054752,1284,207.56870293998327,-7,2025-06,2025-06
ORD-1070,2025-08-05,4,2025-08-09,CUST-5063,Gary Thompson,62,Female,Consumer,Central,United States,Kansas,West Andrew,Office Supply,Stapler,5,345,0.5508840358813348,774.7250381046974,127.2771779846586,0.1642869040298891,14.062853981861345,Low,Delivered,,-0.2431574208885452,-0.15698813856721244,1725,154.9450076209395,-4,2025-08,2025-08
ORD-1071,2025-03-27,5,2025-04-01,CUST-4932,Ryan Adams,62,Female,Home Office,Central,United States,Minnesota,South Pamela,Office Supply,Stapler,1,371,0.4583407369432116,200.95558659406848,28.122026291871325,0.1399415003509108,10.312663418065616,Critical,Delivered,,-0.9157123292331754,-0.7992822484065869,371,200.9555865940685,-5,2025-03,2025-03
ORD-1072,2025-07-02,2,2025-07-04,CUST-7953,Christopher Hayes,18,Female,Consumer,East,United States,Maine,Molinastad,Office Supply,Desk Organizer,2,195,0.1252860507096417,341.13844022323974,26.330425013781884,0.0771839872297925,17.282428753327782,Low,Returned,Customer Changed Mind,-0.751394298662129,-0.8108876458917611,390,170.56922011161987,-2,2025-07,2025-07
ORD-1073,2025-02-08,6,2025-02-14,CUST-9429,Dr. Robert Wiley,32,Male,Consumer,Central,United States,West Virginia,Hansonview,Technology,CPU,7,112,0.2701476164102884,572.2042687343339,30.703788317946323,0.0536587893443375,17.01904703729776,Critical,Returned,Not Specified,-0.4805460394759633,-0.7825584522745139,784,81.7434669620477,-6,2025-02,2025-02
ORD-1074,2025-03-29,2,2025-03-31,CUST-2545,Scott Kelley,42,Female,Corporate,West,United States,Idaho,Bethfort,Office Supply,Filing Cabinet,7,97,0.0214568841504316,664.430775661857,147.75958949872597,0.2223852279442335,12.12135429622868,High,Returned,Incorrect Item,-0.3724409639089756,-0.024309885887491885,679,94.91868223740813,-2,2025-03,2025-03
ORD-1075,2024-12-30,1,2024-12-31,CUST-6129,Erik Zavala,63,Female,Corporate,South,United States,Louisiana,Willischester,Technology,Printer,5,191,0.5083678037499236,469.5087474188229,94.95557003837637,0.202244517403361,4.0157760287882365,High,Cancelled,,-0.6009225717990301,-0.36635676994962724,955,93.90174948376459,-1,2024-12,2024-12
ORD-1076,2025-06-25,1,2025-06-26,CUST-9242,Jeffrey Turner,25,Female,Consumer,East,United States,Vermont,Donaldton,Technology,Printer,9,407,0.2487088888214622,2751.979340246984,441.5912065397994,0.1604631256062291,17.525666207504536,Medium,Returned,Customer Changed Mind,2.07451927390617,1.8790336488467552,3663,305.7754822496649,-1,2025-06,2025-03
